demand,hour,schedule_date
1550,7,12-08-2020
1535,8,12-08-2020
1562,9,12-08-2020
1693,10,12-08-2020
1687,11,12-08-2020
1727,12,12-08-2020
1679,13,12-08-2020
1671,14,12-08-2020
1622,15,12-08-2020
1635,16,12-08-2020
1626,17,12-08-2020
1660,18,12-08-2020
1702,19,12-08-2020
1794,20,12-08-2020
1723,21,12-08-2020
1665,22,12-08-2020
1662,23,12-08-2020
1606,24,12-08-2020
1626,1,13-08-2020
1595,2,13-08-2020
1609,3,13-08-2020
1593,4,13-08-2020
1542,5,13-08-2020
1582,6,13-08-2020
1656,7,13-08-2020
1631,8,13-08-2020
1717,9,13-08-2020
1622,10,13-08-2020
1647,11,13-08-2020
1690,12,13-08-2020
1608,13,13-08-2020
1551,14,13-08-2020
1559,15,13-08-2020
1606,16,13-08-2020
1546,17,13-08-2020
1563,18,13-08-2020
1616,19,13-08-2020
1710,20,13-08-2020
1691,21,13-08-2020
1627,22,13-08-2020
1610,23,13-08-2020
1543,24,13-08-2020
1521,1,14-08-2020
1490,2,14-08-2020
1481,3,14-08-2020
1443,4,14-08-2020
1428,5,14-08-2020
1493,6,14-08-2020
1545,7,14-08-2020
1613,8,14-08-2020
1719,9,14-08-2020
1709,10,14-08-2020
1684,11,14-08-2020
1683,12,14-08-2020
1630,13,14-08-2020
1661,14,14-08-2020
1725,15,14-08-2020
1684,16,14-08-2020
1773,17,14-08-2020
1676,18,14-08-2020
1731,19,14-08-2020
1824,20,14-08-2020
1822,21,14-08-2020
1726,22,14-08-2020
1614,23,14-08-2020
1610,24,14-08-2020
1688.5,1,15-08-2020
1645.5,2,15-08-2020
1585,3,15-08-2020
1538.5,4,15-08-2020
1515,5,15-08-2020
1545,6,15-08-2020
1581.5,7,15-08-2020
1704.5,8,15-08-2020
1736.5,9,15-08-2020
1775,10,15-08-2020
1721,11,15-08-2020
1762,12,15-08-2020
1728,13,15-08-2020
1786,14,15-08-2020
1787.5,15,15-08-2020
1799,16,15-08-2020
1789.5,17,15-08-2020
1746,18,15-08-2020
1730,19,15-08-2020
1849,20,15-08-2020
1818.5,21,15-08-2020
1822,22,15-08-2020
1763,23,15-08-2020
1685,24,15-08-2020
1437,1,16-08-2020
1406,2,16-08-2020
1361,3,16-08-2020
1339,4,16-08-2020
1368,5,16-08-2020
1403,6,16-08-2020
1491,7,16-08-2020
1581,8,16-08-2020
1650,9,16-08-2020
1603,10,16-08-2020
1581,11,16-08-2020
1630,12,16-08-2020
1556,13,16-08-2020
1535,14,16-08-2020
1566,15,16-08-2020
1588,16,16-08-2020
1555,17,16-08-2020
1562,18,16-08-2020
1631,19,16-08-2020
1749,20,16-08-2020
1742,21,16-08-2020
1707,22,16-08-2020
1614,23,16-08-2020
1586,24,16-08-2020
1554,1,17-08-2020
1577,2,17-08-2020
1493,3,17-08-2020
1486,4,17-08-2020
1520,5,17-08-2020
1544,6,17-08-2020
1652,7,17-08-2020
1758,8,17-08-2020
1818,9,17-08-2020
1839,10,17-08-2020
1782,11,17-08-2020
1831,12,17-08-2020
1799,13,17-08-2020
1790,14,17-08-2020
1793,15,17-08-2020
1791,16,17-08-2020
1723,17,17-08-2020
1636,18,17-08-2020
1712,19,17-08-2020
1857,20,17-08-2020
1804,21,17-08-2020
1767,22,17-08-2020
1712,23,17-08-2020
1675,24,17-08-2020
1670,1,18-08-2020
1618,2,18-08-2020
1614,3,18-08-2020
1599,4,18-08-2020
1592,5,18-08-2020
1604,6,18-08-2020
1667,7,18-08-2020
1724,8,18-08-2020
1697,9,18-08-2020
1786,10,18-08-2020
1796,11,18-08-2020
1854,12,18-08-2020
1770,13,18-08-2020
1745,14,18-08-2020
1745,15,18-08-2020
1815,16,18-08-2020
1829,17,18-08-2020
1712,18,18-08-2020
1797,19,18-08-2020
1846,20,18-08-2020
1816,21,18-08-2020
1789,22,18-08-2020
1632,23,18-08-2020
1658,24,18-08-2020
1625,1,19-08-2020
1610,2,19-08-2020
1563,3,19-08-2020
1507,4,19-08-2020
1528,5,19-08-2020
1549,6,19-08-2020
1601,7,19-08-2020
1612,8,19-08-2020
1665,9,19-08-2020
1668,10,19-08-2020
1621,11,19-08-2020
1592,12,19-08-2020
1516,13,19-08-2020
1543,14,19-08-2020
1575,15,19-08-2020
1553,16,19-08-2020
1545,17,19-08-2020
1500,18,19-08-2020
1532,19,19-08-2020
1702,20,19-08-2020
1662,21,19-08-2020
1577,22,19-08-2020
1523,23,19-08-2020
1507,24,19-08-2020
1499,1,20-08-2020
1476,2,20-08-2020
1464,3,20-08-2020
1428,4,20-08-2020
1406,5,20-08-2020
1484,6,20-08-2020
1603,7,20-08-2020
1668,8,20-08-2020
1710,9,20-08-2020
1818,10,20-08-2020
1628,11,20-08-2020
1561,12,20-08-2020
1492,13,20-08-2020
1505,14,20-08-2020
1652,15,20-08-2020
1628,16,20-08-2020
1557,17,20-08-2020
1560,18,20-08-2020
1655,19,20-08-2020
1726,20,20-08-2020
1619,21,20-08-2020
1567,22,20-08-2020
1539,23,20-08-2020
1499,24,20-08-2020
1493,1,21-08-2020
1450,2,21-08-2020
1416,3,21-08-2020
1413,4,21-08-2020
1396,5,21-08-2020
1285,6,21-08-2020
1369,7,21-08-2020
1447,8,21-08-2020
1575,9,21-08-2020
1639,10,21-08-2020
1647,11,21-08-2020
1683,12,21-08-2020
1678,13,21-08-2020
1649,14,21-08-2020
1671,15,21-08-2020
1709,16,21-08-2020
1655,17,21-08-2020
1629,18,21-08-2020
1700,19,21-08-2020
1780,20,21-08-2020
1705,21,21-08-2020
1671,22,21-08-2020
1621,23,21-08-2020
1571,24,21-08-2020
1557,1,22-08-2020
1533,2,22-08-2020
1466,3,22-08-2020
1469,4,22-08-2020
1465,5,22-08-2020
1575,6,22-08-2020
1667,7,22-08-2020
1674,8,22-08-2020
1750,9,22-08-2020
1671,10,22-08-2020
1679,11,22-08-2020
1679,12,22-08-2020
1615,13,22-08-2020
1613,14,22-08-2020
1661,15,22-08-2020
1665,16,22-08-2020
1653,17,22-08-2020
1679,18,22-08-2020
1699,19,22-08-2020
1836,20,22-08-2020
1769,21,22-08-2020
1695,22,22-08-2020
1662,23,22-08-2020
1606,24,22-08-2020
1567,1,23-08-2020
1542,2,23-08-2020
1502,3,23-08-2020
1479,4,23-08-2020
1484,5,23-08-2020
1539,6,23-08-2020
1579,7,23-08-2020
1575,8,23-08-2020
1550,9,23-08-2020
1557,10,23-08-2020
1426,11,23-08-2020
1430,12,23-08-2020
1399,13,23-08-2020
1428,14,23-08-2020
1428,15,23-08-2020
1469,16,23-08-2020
1487,17,23-08-2020
1420,18,23-08-2020
1485,19,23-08-2020
1657,20,23-08-2020
1641,21,23-08-2020
1587,22,23-08-2020
1543,23,23-08-2020
1480,24,23-08-2020
1485,1,24-08-2020
1433,2,24-08-2020
1408,3,24-08-2020
1417,4,24-08-2020
1461,5,24-08-2020
1500,6,24-08-2020
1611,7,24-08-2020
1662,8,24-08-2020
1718,9,24-08-2020
1749,10,24-08-2020
1702,11,24-08-2020
1716,12,24-08-2020
1661,13,24-08-2020
1711,14,24-08-2020
1710,15,24-08-2020
1769,16,24-08-2020
1725,17,24-08-2020
1675,18,24-08-2020
1695,19,24-08-2020
1781,20,24-08-2020
1692,21,24-08-2020
1686,22,24-08-2020
1648,23,24-08-2020
1606,24,24-08-2020
1632,1,25-08-2020
1593,2,25-08-2020
1525,3,25-08-2020
1507,4,25-08-2020
1530,5,25-08-2020
1580,6,25-08-2020
1702,7,25-08-2020
1709,8,25-08-2020
1804,9,25-08-2020
1763,10,25-08-2020
1862,11,25-08-2020
1815,12,25-08-2020
1711,13,25-08-2020
1736,14,25-08-2020
1822,15,25-08-2020
1744,16,25-08-2020
1707,17,25-08-2020
1683,18,25-08-2020
1720,19,25-08-2020
1822,20,25-08-2020
1659,21,25-08-2020
1770,22,25-08-2020
1747,23,25-08-2020
1685,24,25-08-2020
1632,1,26-08-2020
1622,2,26-08-2020
1562,3,26-08-2020
1535,4,26-08-2020
1566,5,26-08-2020
1717,6,26-08-2020
1716,7,26-08-2020
1735,8,26-08-2020
1767,9,26-08-2020
1789,10,26-08-2020
1772,11,26-08-2020
1713,12,26-08-2020
1818,13,26-08-2020
1518,14,26-08-2020
1724,15,26-08-2020
1695,16,26-08-2020
1589,17,26-08-2020
1805,18,26-08-2020
1849,19,26-08-2020
1819,20,26-08-2020
1561,21,26-08-2020
1497,22,26-08-2020
1539,23,26-08-2020
1557,24,26-08-2020
1650,1,27-08-2020
1503,2,27-08-2020
1494,3,27-08-2020
1467,4,27-08-2020
1478,5,27-08-2020
1528,6,27-08-2020
1575,7,27-08-2020
1685,8,27-08-2020
1647,9,27-08-2020
1663,10,27-08-2020
1621,11,27-08-2020
1719,12,27-08-2020
1742,13,27-08-2020
1725,14,27-08-2020
1826,15,27-08-2020
1794,16,27-08-2020
1760,17,27-08-2020
1627,18,27-08-2020
1731,19,27-08-2020
1809,20,27-08-2020
1780,21,27-08-2020
1705,22,27-08-2020
1669,23,27-08-2020
1655,24,27-08-2020
1646,1,28-08-2020
1614,2,28-08-2020
1597,3,28-08-2020
1589,4,28-08-2020
1588,5,28-08-2020
1618,6,28-08-2020
1752,7,28-08-2020
1774,8,28-08-2020
1821,9,28-08-2020
1793,10,28-08-2020
1863,11,28-08-2020
1858,12,28-08-2020
1769,13,28-08-2020
1767,14,28-08-2020
1702,15,28-08-2020
1641,16,28-08-2020
1602,17,28-08-2020
1618,18,28-08-2020
1660,19,28-08-2020
1714,20,28-08-2020
1643,21,28-08-2020
1610,22,28-08-2020
1549,23,28-08-2020
1539,24,28-08-2020
1494,1,29-08-2020
1472,2,29-08-2020
1431,3,29-08-2020
1457,4,29-08-2020
1458,5,29-08-2020
1502,6,29-08-2020
1610,7,29-08-2020
1609,8,29-08-2020
1712,9,29-08-2020
1721,10,29-08-2020
1717,11,29-08-2020
1665,12,29-08-2020
1724,13,29-08-2020
1575,14,29-08-2020
1600,15,29-08-2020
1744,16,29-08-2020
1785,17,29-08-2020
1657,18,29-08-2020
1799,19,29-08-2020
1884,20,29-08-2020
1851,21,29-08-2020
1781,22,29-08-2020
1730,23,29-08-2020
1650,24,29-08-2020
1558,1,30-08-2020
1580,2,30-08-2020
1548,3,30-08-2020
1464,4,30-08-2020
1456,5,30-08-2020
1466,6,30-08-2020
1523,7,30-08-2020
1515,8,30-08-2020
1544,9,30-08-2020
1530,10,30-08-2020
1467,11,30-08-2020
1475,12,30-08-2020
1469,13,30-08-2020
1492,14,30-08-2020
1517,15,30-08-2020
1508,16,30-08-2020
1482,17,30-08-2020
1444,18,30-08-2020
1539,19,30-08-2020
1656,20,30-08-2020
1633,21,30-08-2020
1555,22,30-08-2020
1410,23,30-08-2020
1410,24,30-08-2020
1442,1,31-08-2020
1431,2,31-08-2020
1425,3,31-08-2020
1415,4,31-08-2020
1431,5,31-08-2020
1468,6,31-08-2020
1615,7,31-08-2020
1666,8,31-08-2020
1724,9,31-08-2020
1738,10,31-08-2020
1700,11,31-08-2020
1812,12,31-08-2020
1729,13,31-08-2020
1721,14,31-08-2020
1734,15,31-08-2020
1754,16,31-08-2020
1693,17,31-08-2020
1705,18,31-08-2020
1792,19,31-08-2020
1843.864519,20,31-08-2020
1845.953165,21,31-08-2020
1812.703353,22,31-08-2020
1758.597285,23,31-08-2020
1698.117169,24,31-08-2020
1645,1,01-09-2020
1610,2,01-09-2020
1564,3,01-09-2020
1552,4,01-09-2020
1556,5,01-09-2020
1566,6,01-09-2020
1723,7,01-09-2020
1717,8,01-09-2020
1745,9,01-09-2020
1776,10,01-09-2020
1731,11,01-09-2020
1770,12,01-09-2020
1745,13,01-09-2020
1748,14,01-09-2020
1839,15,01-09-2020
1774,16,01-09-2020
1758,17,01-09-2020
1701,18,01-09-2020
1857,19,01-09-2020
1912,20,01-09-2020
1872,21,01-09-2020
1812,22,01-09-2020
1788,23,01-09-2020
1732,24,01-09-2020
1693,1,02-09-2020
1662,2,02-09-2020
1631,3,02-09-2020
1605,4,02-09-2020
1665,5,02-09-2020
1699,6,02-09-2020
1777,7,02-09-2020
1747,8,02-09-2020
1809,9,02-09-2020
1839,10,02-09-2020
1812,11,02-09-2020
1836,12,02-09-2020
1826,13,02-09-2020
1794,14,02-09-2020
1927,15,02-09-2020
1802,16,02-09-2020
1792,17,02-09-2020
1672,18,02-09-2020
1770,19,02-09-2020
1609,20,02-09-2020
1617,21,02-09-2020
1647,22,02-09-2020
1649,23,02-09-2020
1595,24,02-09-2020
1648,1,03-09-2020
1654,2,03-09-2020
1644,3,03-09-2020
1629,4,03-09-2020
1619,5,03-09-2020
1656,6,03-09-2020
1753,7,03-09-2020
1812,8,03-09-2020
1862,9,03-09-2020
1832,10,03-09-2020
1834,11,03-09-2020
1824,12,03-09-2020
1823,13,03-09-2020
1802,14,03-09-2020
1849,15,03-09-2020
1838,16,03-09-2020
1874,17,03-09-2020
1774,18,03-09-2020
1855,19,03-09-2020
1921,20,03-09-2020
1854,21,03-09-2020
1805,22,03-09-2020
1770,23,03-09-2020
1729,24,03-09-2020
1704,1,04-09-2020
1666,2,04-09-2020
1636,3,04-09-2020
1636,4,04-09-2020
1591,5,04-09-2020
1680,6,04-09-2020
1778,7,04-09-2020
1816,8,04-09-2020
1869,9,04-09-2020
1852,10,04-09-2020
1858,11,04-09-2020
1948,12,04-09-2020
1898,13,04-09-2020
1817,14,04-09-2020
1927,15,04-09-2020
1887,16,04-09-2020
1859,17,04-09-2020
1836,18,04-09-2020
1882,19,04-09-2020
1617,20,04-09-2020
1595,21,04-09-2020
1822,22,04-09-2020
1812,23,04-09-2020
1828,24,04-09-2020
1770,1,05-09-2020
1729,2,05-09-2020
1692,3,05-09-2020
1685,4,05-09-2020
1686,5,05-09-2020
1723,6,05-09-2020
1779,7,05-09-2020
1854,8,05-09-2020
1866,9,05-09-2020
1895,10,05-09-2020
1827,11,05-09-2020
1832,12,05-09-2020
1800,13,05-09-2020
1781,14,05-09-2020
1756,15,05-09-2020
1719,16,05-09-2020
1706,17,05-09-2020
1646,18,05-09-2020
1844,19,05-09-2020
1832,20,05-09-2020
1788,21,05-09-2020
1728,22,05-09-2020
1702,23,05-09-2020
1650,24,05-09-2020
1645,1,06-09-2020
1612,2,06-09-2020
1584,3,06-09-2020
1587,4,06-09-2020
1590,5,06-09-2020
1613,6,06-09-2020
1646,7,06-09-2020
1589,8,06-09-2020
1614,9,06-09-2020
1520,10,06-09-2020
1480,11,06-09-2020
1518,12,06-09-2020
1586,13,06-09-2020
1562,14,06-09-2020
1563,15,06-09-2020
1497,16,06-09-2020
1467,17,06-09-2020
1432,18,06-09-2020
1604,19,06-09-2020
1695,20,06-09-2020
1654,21,06-09-2020
1519,22,06-09-2020
1560,23,06-09-2020
1530,24,06-09-2020
1491,1,07-09-2020
1469,2,07-09-2020
1435,3,07-09-2020
1421,4,07-09-2020
1453,5,07-09-2020
1516,6,07-09-2020
1669,7,07-09-2020
1810,8,07-09-2020
1767,9,07-09-2020
1758,10,07-09-2020
1740,11,07-09-2020
1810,12,07-09-2020
1737,13,07-09-2020
1764,14,07-09-2020
1870,15,07-09-2020
1858,16,07-09-2020
1805,17,07-09-2020
1736,18,07-09-2020
1948,19,07-09-2020
1911,20,07-09-2020
1877,21,07-09-2020
1828,22,07-09-2020
1776,23,07-09-2020
1784,24,07-09-2020
1735,1,08-09-2020
1702,2,08-09-2020
1685,3,08-09-2020
1645,4,08-09-2020
1649,5,08-09-2020
1654,6,08-09-2020
1771,7,08-09-2020
1846,8,08-09-2020
1867,9,08-09-2020
1866,10,08-09-2020
1830,11,08-09-2020
1840,12,08-09-2020
1807,13,08-09-2020
1873,14,08-09-2020
1860,15,08-09-2020
1911,16,08-09-2020
1856,17,08-09-2020
1811,18,08-09-2020
1930,19,08-09-2020
1919,20,08-09-2020
1869,21,08-09-2020
1874,22,08-09-2020
1791,23,08-09-2020
1754,24,08-09-2020
1745,1,09-09-2020
1715,2,09-09-2020
1732,3,09-09-2020
1657,4,09-09-2020
1677,5,09-09-2020
1733,6,09-09-2020
1809,7,09-09-2020
1810,8,09-09-2020
1800,9,09-09-2020
1845,10,09-09-2020
1858,11,09-09-2020
1800,12,09-09-2020
1768,13,09-09-2020
1791,14,09-09-2020
1872,15,09-09-2020
1838,16,09-09-2020
1901,17,09-09-2020
1876,18,09-09-2020
1899,19,09-09-2020
1953,20,09-09-2020
1920,21,09-09-2020
1898,22,09-09-2020
1835,23,09-09-2020
1815,24,09-09-2020
1738,1,10-09-2020
1728,2,10-09-2020
1713,3,10-09-2020
1645,4,10-09-2020
1676,5,10-09-2020
1702,6,10-09-2020
1816,7,10-09-2020
1845,8,10-09-2020
1853,9,10-09-2020
1910,10,10-09-2020
1817,11,10-09-2020
1867,12,10-09-2020
1835,13,10-09-2020
1857,14,10-09-2020
1888,15,10-09-2020
1862,16,10-09-2020
1848,17,10-09-2020
1827,18,10-09-2020
1954,19,10-09-2020
1959,20,10-09-2020
1819,21,10-09-2020
1768,22,10-09-2020
1814,23,10-09-2020
1786,24,10-09-2020
1721,1,11-09-2020
1723,2,11-09-2020
1685,3,11-09-2020
1654,4,11-09-2020
1653,5,11-09-2020
1691,6,11-09-2020
1803,7,11-09-2020
1701,8,11-09-2020
1865,9,11-09-2020
1867,10,11-09-2020
1878,11,11-09-2020
1899,12,11-09-2020
1844,13,11-09-2020
1882,14,11-09-2020
1891,15,11-09-2020
1890,16,11-09-2020
1846,17,11-09-2020
1848,18,11-09-2020
1934,19,11-09-2020
1931,20,11-09-2020
1927,21,11-09-2020
1873,22,11-09-2020
1847,23,11-09-2020
1771,24,11-09-2020
1759,1,12-09-2020
1743,2,12-09-2020
1717,3,12-09-2020
1679,4,12-09-2020
1688,5,12-09-2020
1700,6,12-09-2020
1785,7,12-09-2020
1834,8,12-09-2020
1835,9,12-09-2020
1868,10,12-09-2020
1790,11,12-09-2020
1858,12,12-09-2020
1867,13,12-09-2020
1853,14,12-09-2020
1923,15,12-09-2020
1870,16,12-09-2020
1900,17,12-09-2020
1793,18,12-09-2020
1969,19,12-09-2020
1967,20,12-09-2020
1923,21,12-09-2020
1866,22,12-09-2020
1818,23,12-09-2020
1789,24,12-09-2020
1746,1,13-09-2020
1735,2,13-09-2020
1726,3,13-09-2020
1694,4,13-09-2020
1686,5,13-09-2020
1691,6,13-09-2020
1756,7,13-09-2020
1690,8,13-09-2020
1660,9,13-09-2020
1606,10,13-09-2020
1604,11,13-09-2020
1521,12,13-09-2020
1553,13,13-09-2020
1537,14,13-09-2020
1578,15,13-09-2020
1620,16,13-09-2020
1611,17,13-09-2020
1537,18,13-09-2020
1796,19,13-09-2020
1817,20,13-09-2020
1741,21,13-09-2020
1731,22,13-09-2020
1688,23,13-09-2020
1617,24,13-09-2020
1625,1,14-09-2020
1578,2,14-09-2020
1567,3,14-09-2020
1531,4,14-09-2020
1547,5,14-09-2020
1571,6,14-09-2020
1716,7,14-09-2020
1786,8,14-09-2020
1835,9,14-09-2020
1800,10,14-09-2020
1782,11,14-09-2020
1817,12,14-09-2020
1818,13,14-09-2020
1840,14,14-09-2020
1875,15,14-09-2020
1872,16,14-09-2020
1891,17,14-09-2020
1784,18,14-09-2020
1954,19,14-09-2020
1909,20,14-09-2020
1870,21,14-09-2020
1793,22,14-09-2020
1736,23,14-09-2020
1724,24,14-09-2020
1731,1,15-09-2020
1696,2,15-09-2020
1658,3,15-09-2020
1642,4,15-09-2020
1627,5,15-09-2020
1656,6,15-09-2020
1726,7,15-09-2020
1744,8,15-09-2020
1780,9,15-09-2020
1866,10,15-09-2020
1891,11,15-09-2020
1852,12,15-09-2020
1797,13,15-09-2020
1888,14,15-09-2020
1804,15,15-09-2020
1893,16,15-09-2020
1878,17,15-09-2020
1843,18,15-09-2020
1993,19,15-09-2020
1915,20,15-09-2020
1899,21,15-09-2020
1871,22,15-09-2020
1834,23,15-09-2020
1753,24,15-09-2020
1809,1,16-09-2020
1732,2,16-09-2020
1626,3,16-09-2020
1584,4,16-09-2020
1563,5,16-09-2020
1616,6,16-09-2020
1728,7,16-09-2020
1695,8,16-09-2020
1794,9,16-09-2020
1850,10,16-09-2020
1845,11,16-09-2020
1820,12,16-09-2020
1788,13,16-09-2020
1854,14,16-09-2020
1912,15,16-09-2020
1952,16,16-09-2020
1860,17,16-09-2020
1764,18,16-09-2020
1965,19,16-09-2020
1878,20,16-09-2020
1836,21,16-09-2020
1766,22,16-09-2020
1777,23,16-09-2020
1733,24,16-09-2020
1686,1,17-09-2020
1668,2,17-09-2020
1594,3,17-09-2020
1560,4,17-09-2020
1638,5,17-09-2020
1619,6,17-09-2020
1648,7,17-09-2020
1679,8,17-09-2020
1624,9,17-09-2020
1553,10,17-09-2020
1683,11,17-09-2020
1678,12,17-09-2020
1589,13,17-09-2020
1582,14,17-09-2020
1626,15,17-09-2020
1750,16,17-09-2020
1702,17,17-09-2020
1682,18,17-09-2020
1883,19,17-09-2020
1852,20,17-09-2020
1801,21,17-09-2020
1743,22,17-09-2020
1683,23,17-09-2020
1631,24,17-09-2020
1655,1,18-09-2020
1640,2,18-09-2020
1594,3,18-09-2020
1561,4,18-09-2020
1551,5,18-09-2020
1601,6,18-09-2020
1726,7,18-09-2020
1751,8,18-09-2020
1837,9,18-09-2020
1856,10,18-09-2020
1862,11,18-09-2020
1776,12,18-09-2020
1863,13,18-09-2020
1906,14,18-09-2020
1928,15,18-09-2020
1907,16,18-09-2020
1863,17,18-09-2020
1797,18,18-09-2020
2038,19,18-09-2020
1964,20,18-09-2020
1905,21,18-09-2020
1874,22,18-09-2020
1820,23,18-09-2020
1779,24,18-09-2020
1737,1,19-09-2020
1721,2,19-09-2020
1699,3,19-09-2020
1657,4,19-09-2020
1674,5,19-09-2020
1701,6,19-09-2020
1801,7,19-09-2020
1820,8,19-09-2020
1862,9,19-09-2020
